User_ID,Policy_Cancelled_Post_Purchase,Policy_Start_Year,Policy_Start_Week,Policy_Start_Day,Grace_Period_Extensions,Previous_Policy_Duration_Months,Adult_Dependents,Child_Dependents,Infant_Dependents,Region_Code,Existing_Policyholder,Previous_Claims_Filed,Years_Without_Claims,Policy_Amendments_Count,Broker_ID,Employer_ID,Underwriting_Processing_Days,Vehicles_on_Policy,Custom_Riders_Requested,Broker_Agency_Type,Deductible_Tier,Acquisition_Channel,Payment_Schedule,Employment_Status,Estimated_Annual_Income,Days_Since_Quote,Policy_Start_Month,Purchased_Coverage_Bundle
USR_000032,0,2015,53,28,1,1,2,0.0,0,SWE,0,0,0,0,240.0,,0,1,2,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,27311.05,11,April,3
USR_000033,0,2015,48,23,1,4,1,0.0,0,AGO,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Contractor,39525.79,40,March,4
USR_000034,1,2016,35,25,1,3,3,0.0,0,IRL,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,56407.42,31,December,4
USR_000035,0,2016,22,26,0,3,2,2.0,0,PRT,0,0,0,0,14.0,,0,1,1,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,86600.26,23,September,1
USR_000036,0,2015,42,17,1,1,2,0.0,0,NLD,0,0,0,0,9.0,,0,1,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,31583.97,21,February,2
USR_000037,1,2016,50,7,0,4,2,0.0,0,ITA,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,33984.48,56,April,4
USR_000038,0,2017,32,8,0,5,2,0.0,0,ESP,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,50252.6,160,December,2
USR_000039,0,2017,25,22,2,8,2,0.0,0,DEU,0,0,0,1,314.0,,0,0,0,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,49983.11,246,October,3
USR_000040,0,2017,5,2,0,2,3,0.0,0,PRT,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,58551.12,15,June,4
USR_000041,0,2015,33,14,0,2,2,0.0,0,DEU,0,0,0,0,6.0,,0,0,0,Urban_Boutique,Tier_2_Mid_Ded,Local_Broker,Monthly_EFT,Self_Employed,43223.87,33,December,2
USR_000042,1,2016,13,22,0,3,2,1.0,0,PRT,0,0,0,1,22.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,26561.13,31,July,2
USR_000043,0,2017,19,10,0,1,2,0.0,0,DNK,0,0,0,1,39.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Affiliate_Group,Monthly_EFT,Self_Employed,54082.01,38,September,2
USR_000044,0,2016,36,2,2,2,2,0.0,0,DEU,0,0,0,0,159.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,39128.85,77,January,2
USR_000045,1,2015,40,3,2,5,2,0.0,0,PRT,0,0,0,1,240.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,26463.95,56,February,4
USR_000046,1,2016,53,28,0,2,2,0.0,0,PRT,0,0,0,0,250.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,24199.35,6,April,3
USR_000047,0,2017,13,29,0,2,2,0.0,0,PRT,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,39869.35,3,July,2
USR_000048,1,2016,47,17,0,3,2,0.0,0,GBR,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,34723.29,92,March,4
USR_000049,0,2017,31,1,0,1,1,0.0,0,PRT,0,0,0,1,,40.0,0,1,0,Urban_Boutique,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,28059.58,0,December,2
USR_000050,0,2016,32,2,0,5,2,0.0,0,PRT,0,0,0,0,240.0,,0,0,2,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,61621.27,175,December,2
USR_000051,1,2016,3,13,4,10,1,0.0,0,AGO,0,0,0,0,14.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,29040.11,26,May,2
USR_000052,1,2016,20,11,2,5,2,0.0,0,DEU,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,35715.4,103,September,2
USR_000053,0,2017,33,19,2,5,3,0.0,0,PRT,0,0,0,1,240.0,,0,1,2,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,121760.56,55,December,3
USR_000054,0,2016,26,23,0,1,2,0.0,0,GBR,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,36818.1,0,October,2
USR_000055,1,2016,16,16,2,1,2,2.0,0,IRL,0,0,0,0,14.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,55825.33,57,August,3
USR_000056,0,2017,31,3,1,3,3,0.0,0,ESP,0,0,0,2,9.0,,0,1,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,90574.24,114,December,4
USR_000057,0,2016,39,21,0,1,2,2.0,0,CHN,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,75387.13,7,January,7
USR_000058,0,2016,38,12,1,0,2,1.0,0,PRT,0,0,0,1,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,41995.06,13,January,2
USR_000059,0,2016,41,8,3,6,2,0.0,0,USA,0,0,0,0,14.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,70091.5,47,February,1
USR_000060,1,2017,26,30,2,2,2,0.0,0,PRT,0,0,0,0,531.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,27073.44,58,October,4
USR_000061,1,2017,34,26,2,5,2,0.0,0,PRT,0,0,0,0,394.0,,0,0,0,Urban_Boutique,Tier_2_Mid_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,35530.67,210,December,2
USR_000062,0,2016,22,24,0,1,1,0.0,0,ITA,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,38346.82,15,September,2
USR_000063,0,2016,34,16,0,2,2,0.0,0,FRA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,33203.04,184,December,2
USR_000064,0,2016,38,15,0,2,1,0.0,0,ESP,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,47356.29,28,January,2
USR_000065,1,2016,36,1,2,4,2,0.0,1,MAR,0,0,0,1,240.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,53521.55,130,January,2
USR_000066,0,2016,20,9,1,0,1,0.0,0,PRT,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,40503.94,48,September,2
USR_000067,1,2017,29,16,2,4,2,0.0,0,ESP,0,0,0,0,240.0,,0,0,4,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,48193.18,351,November,4
USR_000068,0,2017,12,21,0,3,2,0.0,0,GBR,0,0,0,0,9.0,,0,0,3,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,41733.58,64,July,4
USR_000069,0,2017,26,29,0,1,2,0.0,0,DEU,0,0,0,0,7.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,45574.19,12,October,2
USR_000070,1,2016,20,12,0,2,2,0.0,0,PRT,0,0,0,1,249.0,,0,0,0,National_Corporate,Tier_2_Mid_Ded,Affiliate_Group,Monthly_EFT,Self_Employed,8681.34,510,September,2
USR_000071,0,2016,6,6,2,1,2,0.0,0,PRT,0,0,0,0,,,0,0,0,National_Corporate,,Affiliate_Group,Monthly_EFT,Self_Employed,23455.8,72,June,4
USR_000072,0,2017,30,26,0,4,2,2.0,0,CHE,0,0,0,0,250.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,74646.91,148,November,6
USR_000073,0,2016,48,26,0,1,2,0.0,0,PRT,0,0,0,0,240.0,,0,0,1,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,30919.08,16,March,2
USR_000074,0,2016,6,6,0,1,2,0.0,0,PRT,0,0,0,0,11.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,28864.71,14,June,2
USR_000075,0,2016,31,27,0,1,2,1.0,0,FRA,0,0,0,0,9.0,,0,1,1,Urban_Boutique,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,61515.72,124,November,2
USR_000076,0,2016,6,3,0,2,1,0.0,0,FRA,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,36709.53,0,June,2
USR_000077,0,2017,27,8,2,2,2,0.0,0,FRA,0,0,0,0,7.0,,0,0,2,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,35658.58,17,November,2
USR_000078,0,2017,26,27,0,2,2,0.0,0,ITA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Self_Employed,38080.69,85,October,2
USR_000079,0,2017,19,8,1,1,1,0.0,0,PRT,0,1,13,0,,292.0,0,1,1,National_Corporate,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,15958.52,9,September,2
USR_000080,1,2016,5,29,1,2,2,0.0,0,BRA,0,0,0,1,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,24188.56,30,May,0
USR_000081,0,2016,40,29,0,3,2,0.0,0,NLD,0,0,0,0,325.0,,0,0,0,Urban_Boutique,Tier_2_Mid_Ded,Corporate_Partner,Monthly_EFT,Self_Employed,43597.65,0,January,2
USR_000082,0,2016,45,30,2,0,2,0.0,0,ESP,0,0,0,0,240.0,,0,1,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,22580.78,0,February,2
USR_000083,0,2017,32,7,1,4,2,0.0,0,FRA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,51840.09,32,December,2
USR_000084,0,2017,25,20,0,2,2,0.0,0,CHE,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,52505.38,60,October,2
USR_000085,0,2016,18,25,1,1,3,0.0,0,FRA,0,0,0,0,173.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Self_Employed,36279.72,80,August,4
USR_000086,0,2016,4,23,2,2,3,0.0,0,PRT,0,0,0,0,14.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,37351.43,113,May,4
USR_000087,0,2016,33,12,1,2,3,1.0,0,BRA,0,0,0,0,,,0,1,1,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,103207.18,71,December,5
USR_000088,1,2017,24,15,0,3,2,2.0,0,PRT,0,0,0,0,14.0,,0,0,1,Urban_Boutique,Tier_2_Mid_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,97493.78,28,October,1
USR_000089,0,2016,24,7,2,5,2,0.0,0,GBR,0,0,0,0,40.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Contractor,30412.74,342,October,3
USR_000090,0,2016,37,7,0,3,2,0.0,0,BEL,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,42910.78,115,January,2
USR_000091,0,2016,31,25,1,2,3,0.0,0,GBR,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,41304.64,88,November,4
USR_000092,0,2015,45,3,0,4,2,0.0,0,NLD,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Contractor,27577.05,0,March,4
USR_000093,0,2016,50,5,1,0,1,0.0,0,PRT,1,0,3,0,,40.0,0,1,1,Urban_Boutique,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,24736.92,0,April,2
USR_000094,0,2016,33,10,0,4,2,0.0,0,BEL,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Self_Employed,38634.75,191,December,2
USR_000095,1,2017,22,2,0,1,2,0.0,0,FRA,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,44108.28,128,October,2
USR_000096,0,2017,22,1,0,3,2,0.0,0,FRA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,60923.02,223,October,4
USR_000097,0,2016,17,18,1,2,2,0.0,0,ARG,0,0,0,0,,,0,1,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,28968.01,7,August,3
USR_000098,0,2016,48,22,0,2,2,0.0,0,ITA,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,34955.77,29,March,2
USR_000099,0,2016,22,24,0,2,2,0.0,0,CHL,0,0,0,0,,78.0,0,0,1,Urban_Boutique,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Self_Employed,34310.44,6,September,2
USR_000100,1,2016,23,3,2,5,2,0.0,0,PRT,0,0,0,0,240.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,31312.63,199,October,3
USR_000101,1,2017,26,26,1,1,2,0.0,0,BRA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,39578.04,214,October,2
USR_000102,0,2016,26,19,2,0,1,0.0,0,PRT,0,0,0,0,,148.0,0,0,0,National_Corporate,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,21594.28,11,October,2
USR_000103,0,2016,8,17,0,1,2,0.0,0,PRT,1,0,18,0,,45.0,0,0,2,Urban_Boutique,Tier_1_High_Ded,,Monthly_EFT,Employed_FullTime,0.0,6,June,7
USR_000104,0,2016,52,22,0,2,2,2.0,0,PRT,0,0,0,0,7.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,54111.29,51,April,7
USR_000105,0,2016,53,30,0,2,2,0.0,0,,0,0,0,0,,,0,0,1,National_Corporate,Tier_2_Mid_Ded,Affiliate_Group,Monthly_EFT,Self_Employed,112583.11,21,April,2
USR_000106,1,2016,14,28,1,1,2,0.0,0,GBR,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,31479.51,45,July,2
USR_000107,1,2017,32,12,2,5,2,0.0,0,PRT,0,0,0,0,196.0,,0,0,0,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,97610.97,45,December,2
USR_000108,1,2016,35,25,0,2,2,0.0,0,CHE,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,36879.32,141,December,4
USR_000109,0,2016,46,7,1,4,1,0.0,0,SWE,0,0,0,1,241.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,9467.82,262,March,2
USR_000110,1,2016,7,12,2,5,3,0.0,0,DEU,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,43862.57,17,June,4
USR_000111,0,2016,42,13,1,3,2,0.0,0,USA,0,0,0,0,14.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,4724.87,0,February,7
USR_000112,1,2017,15,11,0,4,2,0.0,0,ESP,0,0,0,0,240.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,29457.81,80,August,2
USR_000113,0,2016,44,24,1,0,2,0.0,0,PRT,0,0,0,0,240.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,22009.5,0,February,2
USR_000114,0,2016,29,14,0,2,3,0.0,0,GBR,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,52368.33,107,November,4
USR_000115,0,2016,14,28,1,2,2,2.0,0,ESP,0,0,0,1,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,48780.13,63,July,7
USR_000116,0,2016,24,10,1,2,3,0.0,0,ESP,0,0,0,0,9.0,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,63888.02,49,October,4
USR_000117,0,2015,32,6,2,3,2,0.0,0,GBR,0,0,0,0,156.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Contractor,40767.06,152,December,4
USR_000118,1,2017,10,8,0,1,1,0.0,0,PRT,0,0,0,0,,203.0,0,0,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,12439.05,15,July,2
USR_000119,1,2017,28,10,1,2,2,0.0,0,CHE,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,40126.42,54,November,2
USR_000120,0,2017,10,7,4,10,1,0.0,0,ITA,1,0,1,0,,153.0,0,0,2,Urban_Boutique,Tier_1_High_Ded,,Monthly_EFT,Employed_FullTime,30885.83,9,July,4
USR_000121,0,2015,42,11,1,0,2,0.0,0,KOR,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,43354.65,0,February,2
USR_000122,0,2015,48,26,0,3,2,0.0,0,IRL,0,0,0,0,240.0,,0,1,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,21082.01,11,March,4
USR_000123,1,2017,22,30,0,1,2,0.0,0,PRT,0,0,0,0,229.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Affiliate_Group,Annual_Upfront,Employed_FullTime,27488.92,412,September,2
